"","Ds_Site_Esophagus","Ds_Site_Hypopharynx","Ds_Site_Larynx","Ds_Site_Lip_Oral_Cavity","Ds_Site_Nasal_Cavity","Ds_Site_Oropharynx","Sex","Smoking_PY","Stage_numeric","HPV_Positive","HPV_Unknown","RT_year","Age","BED_DI","BED_DD","predictions","variance.estimates","Ds_Site_Hypopharynx_SHAP","Ds_Site_Larynx_SHAP","Ds_Site_Lip_Oral_Cavity_SHAP","Ds_Site_Oropharynx_SHAP","Sex_SHAP","Smoking_PY_SHAP","Stage_numeric_SHAP","HPV_Positive_SHAP","HPV_Unknown_SHAP","RT_year_SHAP","Age_SHAP","BED_DD_SHAP"
"Ds_Site_Larynx_SHAP",0.588985619478018,1.72659519161315e-05,7.94458105786102e-37,0.0268605039409936,0.511599018213915,6.19846871106983e-09,0.933313107986432,0.00470647892606779,0.294538615800177,0.116633378156314,1.41429620981099e-08,0.364195626819646,0.00774362210893239,0.397086653579395,0.343965160862432,0.0124077694431159,0.211297926889905,7.2628919581173e-10,0,1,1,1,1,6.50382378757501e-29,6.3379987018575e-10,1,1,0.986725898312324,1
"Ds_Site_Lip_Oral_Cavity_SHAP",0.663977549626151,0.0693878199097031,0.0965429883854441,6.38813098020285e-189,0.521658304382912,6.45081653672183e-10,0.139680532391924,0.592721239286367,0.368639138837179,0.000154845108408345,9.12020916583332e-09,0.382674377095158,0.354803008966734,0.842386181219097,0.373475817868962,0.207665123795752,0.0250368380731692,0.926475947154183,0.00507840436718118,0,0.121089702840323,0.00176944721626636,0.0603096119355373,1,2.40796476184598e-05,6.07613831764594e-09,1,1,1
"Ds_Site_Oropharynx_SHAP",0.534586957330993,1.11126257229603e-08,3.92691714213359e-13,0.0178564312029716,9.11335421083697e-07,1.29206736878092e-31,0.0443601922368953,0.00865201042592247,2.22507393973956e-05,1.52307684663079e-22,6.46955844075131e-14,0.723693525357533,0.498451115785412,0.936219263776598,0.770729720844679,1.10057728660634e-20,0.0020745572555669,1.04200004555267e-25,0.185232154096666,0.000298250499606707,0,1,0.000169592513515935,9.330580647098e-51,5.22992469103346e-184,6.57769459533056e-234,1.53145623844406e-05,3.22915384719593e-17,1
"Sex_SHAP",0.929562706629482,0.486587697384604,0.885994838929751,0.100170497106961,0.0358883559924785,0.398591178501402,1.80066684480589e-67,0.00486090449192518,0.68385022950164,0.0151490920586805,0.907810432960932,0.143571169720562,0.597673012203235,0.86456627800219,0.147538376709775,0.0246692877100402,0.165659805451254,0.814958235512772,0.0305391092309892,4.3582443750403e-06,0.867240290383191,0,0.00333092949945889,0.0585649035847542,1,1,4.91303623459038e-41,1,1
"Smoking_PY_SHAP",0.598320666929618,0.0991488525960233,0.022858976117891,0.679532825673313,0.502737440306736,0.00642352116334421,0.0681450393884974,1.02519039013741e-53,0.742971596260303,2.73267622511917e-07,0.0225116365305703,0.913014750815245,0.664671231068679,0.989289592482394,0.927107935333608,1.59585155470192e-29,9.04089736475785e-11,2.58411432058129e-07,0.047586031180827,0.000148545842205757,4.17715550531859e-07,8.20425985088396e-06,0,1,0.0546126751394368,1,1.78036021104049e-39,3.84107972210954e-16,2.30478691080656e-14
"Stage_numeric_SHAP",0.279825725997843,0.663077566632226,0.103718738353071,0.682639148763034,0.133462194106915,0.15349730569963,0.740682129406825,0.986282525742834,1.58123870746442e-10,0.346451980087066,0.416985454081671,0.424854797341378,0.956539545003048,0.655001528431687,0.902052673229522,0.877243633614834,0.257246220286143,0.000117373001968012,1.60192704127463e-31,0.00495642828212512,2.29817257317685e-53,0.000144248530996931,0.00838177518950425,0,1.48927669215175e-62,1.85829188809052e-50,1,8.03269169156038e-49,1
"HPV_Positive_SHAP",0.254751138684239,6.82122873425387e-07,4.33572509676721e-08,0.00105886782731529,0.0742574741628594,1.15208578017626e-20,0.00897496548876486,1.47970840038612e-08,0.157745171695194,7.3605791282467e-75,2.35028228820318e-25,0.0600077329133583,0.0119873289995767,0.52339639753013,0.842995824805755,1.23333778131489e-36,1.29016395561131e-11,4.23151426550247e-23,1.56108342410283e-12,5.93094768927581e-08,1.28815879089494e-186,0.0170083751671138,0.000134513978175953,3.668169192492e-65,0,1.08831570890932e-176,6.29480014693875e-06,9.82945867958383e-30,1
"HPV_Unknown_SHAP",0.0775870373469936,0.000413913109475886,0.000116161741054254,0.00138132797285511,0.00667209924765495,1.05128447532236e-13,0.111885931172381,0.100219549117283,0.0549381056821015,3.10544253794748e-23,1.53812474199735e-26,0.17070829827648,0.263643036512947,0.68772802507773,0.778326426029717,6.46936997803056e-21,0.00245662119051443,1.1952815299569e-13,0.864650027587897,1.49658579252363e-11,1.62012182150999e-236,0.212555406354537,0.0166180262049986,4.5770736159865e-53,2.68058056381605e-179,0,4.65184741440518e-06,2.27990723503645e-32,1
"RT_year_SHAP",0.929751540683331,0.254991283777379,0.626427650901562,0.819844135147916,0.746019148523075,0.287050251093063,0.125110575821326,0.0822826538639144,0.807598830870327,0.00104165487427751,0.0100500438803835,1.50811080512889e-47,0.366925984227502,0.537062400901532,0.602835515611352,4.80388669107125e-23,6.2428131766766e-06,0.00121363317830252,0.0305764229922547,0.324367810261411,3.77205970060114e-08,1.21010744694344e-43,4.38512367251351e-42,0.418653790746496,1.55044338594551e-08,1.14577522522295e-08,0,1,9.66093495424622e-25
"Age_SHAP",0.218482066048445,0.178864325790025,0.0505268042347689,0.86864218008609,0.672565749931779,0.0119265651492508,0.648351714402813,0.273912239215806,0.630265275379151,0.00089832178539386,0.0100360948499809,0.932925477216246,3.78191670548553e-54,0.0011867344344338,1.24447251063854e-06,4.29916414751707e-37,0.00019094422887367,0.342286167143294,0.00243035935544907,0.958855870559796,7.95358090442347e-20,0.020103895418021,9.46078749288065e-19,1.97849549053211e-51,2.42104893585809e-32,5.61553506166613e-35,0.00561991380738991,0,1
"BED_DD_SHAP",0.764565959491049,0.775643473341088,0.425957860845289,0.581394887133079,0.0371449311323117,0.460546965322922,0.0404030476288312,0.746971339425564,0.454591941585776,0.494090534171857,0.255022355184455,6.17566238606118e-05,2.34866617739128e-06,7.40337122708164e-12,6.18453045887948e-66,0.148241688193266,0.949496881946146,0.144005250160902,0.462125435016082,0.639275596144824,0.00401521433217684,0.115514754502951,5.67681505124768e-17,0.357831673226239,0.475614715173426,0.00931051983019851,2.37954062912468e-27,0.501329803707194,0
